timestamp,latency,queue_id
1762600354.722066,10487053,0
1762600354.722067,7197151,1
1762600354.722335,6065172,2
1762600354.722337,8070235,3
1762600354.722603,5389956,5
1762600354.722604,6479622,7
1762600354.722805,11224448,0
1762600354.722806,6533059,1
1762600354.723073,6802561,2
1762600354.723075,8807623,3
1762600354.723342,6127346,5
1762600354.723343,7217018,7
1762600354.723543,9909136,0
1762600354.723544,7270448,1
1762600354.723812,6122011,2
1762600354.723813,6586529,5
1762600354.724081,6555217,7
1762600354.724082,10445401,0
1762600354.724282,6579871,1
1762600354.724283,6591127,2
1762600354.724551,8808664,3
1762600354.724552,7323923,5
1762600354.724819,7292615,7
1762600354.724821,9505982,0
1762600354.725020,7317264,1
1762600354.725022,6064720,2
1762600354.725289,9546057,3
1762600354.725291,6867416,5
1762600354.725558,6005694,7
1762600354.725559,6583079,1
1762600354.725759,5221565,2
1762600354.725761,10006031,3
1762600354.726028,7604497,5
1762600354.726029,6474811,7
1762600354.726296,10981683,0
1762600354.726298,7320471,1
1762600354.726498,5221995,2
1762600354.726500,9269969,3
1762600354.726766,6138219,5
1762600354.726768,6119893,7
1762600354.727035,10289264,0
1762600354.727036,6865008,1
1762600354.727236,4745133,2
1762600354.727238,10007362,3
1762600354.727505,6875612,5
1762600354.727506,6857291,7
1762600354.727774,11026656,0
1762600354.727775,8602295,3
1762600354.727976,6073987,5
1762600354.727976,6056171,7
1762600354.728244,11486850,0
1762600354.728245,8072431,1
1762600354.728513,5289448,2
1762600354.728514,9339682,3
1762600354.728714,6811379,5
1762600354.728715,6793565,7
1762600354.728982,12224242,0
1762600354.728984,6857070,1
1762600354.729251,5290129,2
1762600354.729252,8806398,3
1762600354.729453,6067995,5
1762600354.729454,11497725,0
1762600354.729721,7594149,1
1762600354.729722,5288779,2
1762600354.729922,9476328,3
1762600354.729924,6537110,5
1762600354.730191,6674227,7
1762600354.730192,12235124,0
1762600354.730460,6851799,1
1762600354.730461,3914878,2
1762600354.730662,9005218,3
1762600354.730663,6072775,5
1762600354.730930,5943303,7
1762600354.730931,11503162,0
1762600354.731198,7589189,1
1762600354.731200,4652270,2
1762600354.731400,9742604,3
1762600354.731401,6412417,7
1762600354.731669,6585030,1
1762600354.731670,3001919,2
1762600354.731937,8805395,3
1762600354.731938,7347349,5
1762600354.732139,5912572,7
1762600354.732140,12710582,0
1762600354.732407,7322425,1
1762600354.732408,3739310,2
1762600354.732676,9542785,3
1762600354.732677,6611460,5
1762600354.732877,6649969,7
1762600354.732879,11982398,0
1762600354.733146,6779581,1
1762600354.733147,3381532,2
1762600354.733415,7955399,3
1762600354.733415,7348858,5
1762600354.733616,5929922,7
1762600354.733617,12719796,0
1762600354.733884,7516979,1
1762600354.733886,4118919,2
1762600354.734154,6602690,5
1762600354.734354,6667320,7
1762600354.734356,11378152,0
1762600354.734623,6319889,1
1762600354.734624,4847927,2
1762600354.734892,7586878,3
1762600354.734893,7340086,5
1762600354.735094,6285626,7
1762600354.735094,12115550,0
1762600354.735362,5581807,1
1762600354.735363,5585316,2
1762600354.735630,6876437,5
1762600354.735664,6875519,5
1762600354.735832,7023014,7
1762600354.735833,11662680,0
1762600354.736100,6319198,1
1762600354.736102,4854911,2
1762600354.736369,9062891,3
1762600354.736370,5365079,7
1762600354.736570,12399760,0
1762600354.736572,7995614,3
1762600354.736839,6877264,5
1762600354.736841,5833887,7
1762600354.737108,10752480,0
1762600354.737109,5844060,1
1762600354.737310,6062025,2
1762600354.737310,8733002,3
1762600354.737578,7614658,5
1762600354.737579,6004172,7
1762600354.737846,11489873,0
1762600354.737848,6581454,1
1762600354.738048,5602703,2
1762600354.738049,9461760,3
1762600354.738317,6330288,5
1762600354.738318,5849721,1
1762600354.738585,6138657,2
1762600354.738599,4659953,2
1762600354.738787,10198832,3
1762600354.738788,6799404,5
1762600354.739055,6124054,7
1762600354.739056,11097231,0
1762600354.739324,6855384,1
1762600354.739325,5397347,2
1762600354.739525,9530985,3
1762600354.739527,6069516,5
1762600354.739794,6861452,7
1762600354.739795,11834623,0
1762600354.740062,6118350,1
1762600354.740063,4657332,2
1762600354.740264,10268372,3
1762600354.740265,5848342,7
1762600354.740533,11386113,0
1762600354.740534,5727667,1
1762600354.740801,5394416,2
1762600354.740802,10795842,3
1762600354.741002,7545217,5
1762600354.741004,6585740,7
1762600354.741271,12123503,0
1762600354.741272,6465061,1
1762600354.741540,4192923,2
1762600354.741541,10808999,3
1762600354.741741,6804817,5
1762600354.741742,5855227,7
1762600354.742010,11766201,0
1762600354.742011,5733585,1
1762600354.742279,11546080,3
1762600354.742279,7341081,5
1762600354.742480,6592304,7
1762600354.742481,12235316,0
1762600354.742748,6470662,1
1762600354.742750,5400667,2
1762600354.743018,11547022,3
1762600354.743019,7315448,5
1762600354.743219,6323678,7
1762600354.743220,12239429,0
1762600354.743487,5466388,1
1762600354.743488,4860011,2
1762600354.743689,10839725,3
1762600354.743690,6073617,5
1762600354.743958,7061069,7
1762600354.743959,12976818,0
1762600354.744226,6203782,1
1762600354.744227,4862166,2
1762600354.744427,6810699,5
1762600354.744460,5537599,5
1762600354.744696,5584139,7
1762600354.744697,12500125,0
1762600354.744964,5539912,1
1762600354.744965,5599559,2
1762600354.745167,6053257,7
1762600354.745170,12315739,3
1762600354.745434,11759422,0
1762600354.745445,11758502,0
1762600354.745703,6277304,1
1762600354.745705,4864798,2
1762600354.745905,9454386,3
1762600354.745906,7013608,5
1762600354.746173,6333739,7
1762600354.746175,11019119,0
1762600354.746442,5854955,1
1762600354.746443,5602192,2
1762600354.746643,10191782,3
1762600354.746644,5603756,5
1762600354.746912,6594080,7
1762600354.746913,6324067,1
1762600354.747180,4386985,2
1762600354.747181,9794375,3
1762600354.747382,6340835,5
1762600354.747416,5057581,5
1762600354.747650,6487945,7
1762600354.747652,12495139,0
1762600354.747919,6604686,1
1762600354.747920,5124690,2
1762600354.748120,10732902,3
1762600354.748122,4752693,7
1762600354.748389,11761504,0
1762600354.748422,11760593,0
1762600354.748657,6601286,1
1762600354.748660,5117815,2
1762600354.748859,9971481,3
1762600354.748861,6533595,5
1762600354.749128,5017553,7
1762600354.749129,11227026,0
1762600354.749397,6490866,1
1762600354.749397,5855213,2
1762600354.749598,10708871,3
1762600354.749599,5859886,5
1762600354.749867,5021595,7
1762600354.749868,4752483,1
1762600354.750135,5114470,2
1762600354.750136,9813731,3
1762600354.750336,6596965,5
1762600354.750369,5867809,5
1762600354.750605,5288740,7
1762600354.750874,5020796,1
1762600354.750875,5852179,2
